id,name,project_type,state,district,latitude,longitude,land_area_ha,affected_families,start_date,target_end_date,current_stage,status,data_source,delay_probability,risk_category,days_in_current_stage,stage_overdue_days,pct_stages_completed,compensation_paid_pct,avg_compensation_pending_days,num_disputed_claims,legal_dispute_flag,num_active_legal_cases,has_court_stay,doc_complete_pct,approval_pending_days,num_approvals_pending,sia_approved,env_clearance_obtained,rehab_progress_pct,stakeholder_response_days,notification_delay_days,possession_completion_pct,district_historical_delay_rate
1,"Expressway 1 (Thane, Maharashtra)",Expressway,Maharashtra,Thane,16.166219,78.425342,282.82,4474,2022-07-22,2026-08-11,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.3919,low,119,0,0.3931,0.2789,56,29,True,5,True,0.5669,111,0,True,False,0.1597,59,21,0,0.2389
2,"State Highway 2 (Gautam Buddha Nagar, Uttar Pradesh)",State Highway,Uttar Pradesh,Gautam Buddha Nagar,29.508713,81.527945,44.01,2411,2020-02-06,2021-05-04,SIA Approved,Completed,SYNTHETIC_DEMO,0.129,low,0,0,0.1709,0.1472,160,0,False,0,False,0.7711,110,5,True,True,0.7046,10,42,0,0.2139
3,"Metro 3 (Coimbatore, Tamil Nadu)",Metro Rail,Tamil Nadu,Coimbatore,11.496264,77.641745,306.52,1411,2021-02-05,2024-03-04,SIA Approved,Completed,SYNTHETIC_DEMO,0.1834,low,0,0,0.0961,0.0865,136,0,False,0,False,0.8375,20,7,True,True,0.9895,86,44,0,0.3785
4,"Metro Rail 4 (Jaipur, Rajasthan)",Metro Rail,Rajasthan,Jaipur,23.46332,77.718225,75.72,1153,2020-11-21,2025-01-25,SIA Initiated,On Hold,SYNTHETIC_DEMO,0.1703,low,352,109,0,0,143,0,False,0,False,0.7234,95,9,False,True,0.5835,51,14,0,0.5987
5,"PMGSY 5 (Rajkot, Gujarat)",Rural Road,Gujarat,Rajkot,20.687786,69.039883,266.91,4542,2022-12-11,2027-10-04,SIA Approved,Planning,SYNTHETIC_DEMO,0.3583,low,462,280,0.1443,0.1177,174,0,False,0,False,0.8324,87,8,True,False,0.7686,48,7,0,0.2468
6,"National Highway 6 (Vadodara, Gujarat)",National Highway,Gujarat,Vadodara,22.284568,68.69167,382.44,4428,2022-09-14,2027-03-17,Award Declaration,Cancelled,SYNTHETIC_DEMO,0.4786,medium,335,20,0.5683,0.4844,0,0,False,0,False,0.7594,62,0,True,True,0.363,44,15,0,0.129
7,"Rural Road 7 (Thane, Maharashtra)",Rural Road,Maharashtra,Thane,16.334545,76.302259,464.81,1657,2023-07-26,2027-08-24,SIA Approved,Cancelled,SYNTHETIC_DEMO,0.3298,low,199,0,0.078,0.075,79,0,False,0,False,0.6394,85,10,True,True,0.8996,62,7,0,0.224
8,"NH 8 (Raigad, Maharashtra)",National Highway,Maharashtra,Raigad,15.54674,78.162728,142.85,3986,2020-05-06,2021-09-03,Completed,In Progress,SYNTHETIC_DEMO,0.0765,low,264,30,0.9135,0.648,138,0,False,0,False,0.4794,119,9,True,True,0.243,65,51,0.4071,0.1472
9,"Smart City 9 (Sangareddy, Telangana)",Smart City,Telangana,Sangareddy,15.716685,79.94055,128.08,1568,2021-09-08,2026-04-23,Possession Handover,Completed,SYNTHETIC_DEMO,0.5592,medium,0,0,0.6697,0.5497,137,0,False,0,False,0.6692,54,2,True,True,0.2498,14,28,0.808,0.528
10,"City Infra 10 (Thane, Maharashtra)",Urban Infrastructure,Maharashtra,Thane,21.016522,73.830489,136.28,3737,2020-02-13,2023-11-03,SIA Initiated,Planning,SYNTHETIC_DEMO,0.3279,low,522,269,0,0,108,45,True,5,False,0.7971,62,2,False,True,0.2177,12,37,0,0.4679
11,"Industrial Corridor 11 (Chikkaballapura, Karnataka)",Industrial Corridor,Karnataka,Chikkaballapura,13.759976,77.83724,339.23,1936,2020-11-15,2022-10-03,SIA Initiated,Planning,SYNTHETIC_DEMO,0.2253,low,88,0,0.0922,0.0667,30,0,False,0,False,0.965,72,3,False,True,0.0397,15,26,0,0.4287
12,"Metro 12 (Ajmer, Rajasthan)",Metro Rail,Rajasthan,Ajmer,23.916148,75.309507,41.26,1756,2022-01-07,2025-07-31,Compensation Disbursement,In Progress,SYNTHETIC_DEMO,0.5297,medium,353,44,0.7108,0.6971,67,9,True,3,False,0.9285,112,3,True,True,0.1577,74,45,0,0.2513
13,"City Infra 13 (Chikkaballapura, Karnataka)",Urban Infrastructure,Karnataka,Chikkaballapura,12.470019,74.519429,105.78,2172,2020-02-08,2021-09-14,Award Declaration,Planning,SYNTHETIC_DEMO,0.5317,medium,596,287,0.4311,0.3382,125,0,False,0,False,0.5507,116,0,True,True,0.4236,40,2,0,0.1018
14,"E-way 14 (Bhavnagar, Gujarat)",Expressway,Gujarat,Bhavnagar,21.924591,68.062853,293.34,1223,2020-10-17,2022-03-20,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.3655,low,0,0,0.339,0.3076,110,9,True,1,True,0.585,115,0,True,False,0.2101,36,42,0,0.1514
15,"Railway 15 (Medak, Telangana)",Railway Line,Telangana,Medak,18.743087,80.966373,137.07,895,2022-08-06,2023-09-25,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.6429,medium,213,0,0.4223,0.3377,9,0,False,0,False,0.9152,28,3,True,False,0.4603,44,52,0,0.4977
16,"National Highway 16 (Ghaziabad, Uttar Pradesh)",National Highway,Uttar Pradesh,Ghaziabad,29.618294,84.251668,469.92,954,2022-03-06,2024-09-27,Objection Hearing,Completed,SYNTHETIC_DEMO,0.4485,medium,0,0,0.3452,0.2944,66,0,False,0,False,0.5071,33,0,True,True,0.4346,45,27,0,0.4031
17,"Port Link 17 (Pune, Maharashtra)",Port Connectivity,Maharashtra,Pune,18.334374,76.659363,313.46,1030,2020-11-17,2024-11-23,Objection Hearing,On Hold,SYNTHETIC_DEMO,0.3633,low,716,352,0.3144,0.2608,76,0,False,0,False,0.7043,85,6,True,True,0.6972,75,8,0,0.1959
18,"Rail Line 18 (Siddipet, Telangana)",Railway Line,Telangana,Siddipet,15.501624,78.291112,223.87,1760,2022-05-10,2025-10-06,Award Declaration,Completed,SYNTHETIC_DEMO,0.4144,medium,0,0,0.5572,0.4914,130,0,False,0,False,0.6839,115,2,True,True,0.2838,89,40,0,0.4096
19,"E-way 19 (Palghar, Maharashtra)",Expressway,Maharashtra,Palghar,15.800389,80.371488,249.72,2008,2023-03-27,2027-08-29,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.3942,low,104,0,0.3661,0.3536,167,0,False,0,False,0.8126,114,1,True,False,0.2188,71,29,0,0.1251
20,"PMGSY 20 (Meerut, Uttar Pradesh)",Rural Road,Uttar Pradesh,Meerut,30.421301,81.465892,449.12,3898,2020-01-10,2023-07-04,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.4003,medium,0,0,0.2725,0.2496,115,0,False,0,False,0.5555,31,10,True,True,0.7777,67,40,0,0.2196
21,"E-way 21 (Visakhapatnam, Andhra Pradesh)",Expressway,Andhra Pradesh,Visakhapatnam,18.751188,77.144621,206.76,4455,2023-03-22,2025-01-23,Objection Hearing,On Hold,SYNTHETIC_DEMO,0.4508,medium,266,0,0.3516,0.2622,106,0,False,0,False,0.4374,106,6,True,True,0.7698,7,54,0,0.5403
22,"NH 22 (Yadadri Bhuvanagiri, Telangana)",National Highway,Telangana,Yadadri Bhuvanagiri,18.913792,81.290437,246.67,2245,2022-10-16,2026-02-20,Compensation Disbursement,On Hold,SYNTHETIC_DEMO,0.676,medium,581,290,0.6745,0.5827,124,0,False,0,False,0.4174,43,10,True,True,0.4043,26,53,0,0.3337
